"Name","epoch","valid/accuracy_Atelectasis","valid/accuracy_Calcification of the Aorta","valid/accuracy_Cardiomegaly","valid/accuracy_Consolidation","valid/accuracy_Edema","valid/accuracy_Effusion","valid/accuracy_Emphysema","valid/accuracy_Fibrosis","valid/accuracy_Hernia","valid/accuracy_Infiltration","valid/accuracy_Mass","valid/accuracy_No Finding","valid/accuracy_Nodule","valid/accuracy_Pleural Thickening","valid/accuracy_Pneumomediastinum","valid/accuracy_Pneumonia","valid/accuracy_Pneumoperitoneum","valid/accuracy_Pneumothorax","valid/accuracy_Subcutaneous Emphysema","valid/accuracy_Tortuous Aorta","valid/accuracy_mean","valid/loss","valid/precision_Atelectasis","valid/precision_Calcification of the Aorta","valid/precision_Cardiomegaly","valid/precision_Consolidation","valid/precision_Edema","valid/precision_Effusion","valid/precision_Emphysema","valid/precision_Fibrosis","valid/precision_Hernia","valid/precision_Infiltration","valid/precision_Mass","valid/precision_No Finding","valid/precision_Nodule","valid/precision_Pleural Thickening","valid/precision_Pneumomediastinum","valid/precision_Pneumonia","valid/precision_Pneumoperitoneum","valid/precision_Pneumothorax","valid/precision_Subcutaneous Emphysema","valid/precision_Tortuous Aorta","valid/precision_mean","valid/recall_Atelectasis","valid/recall_Calcification of the Aorta","valid/recall_Cardiomegaly","valid/recall_Consolidation","valid/recall_Edema","valid/recall_Effusion","valid/recall_Emphysema","valid/recall_Fibrosis","valid/recall_Hernia","valid/recall_Infiltration","valid/recall_Mass","valid/recall_No Finding","valid/recall_Nodule","valid/recall_Pleural Thickening","valid/recall_Pneumomediastinum","valid/recall_Pneumonia","valid/recall_Pneumoperitoneum","valid/recall_Pneumothorax","valid/recall_Subcutaneous Emphysema","valid/recall_Tortuous Aorta","valid/recall_mean","variance_factors"
"Trial-063","7","0.8892523646354675","0.9974467158317566","0.9743876457214355","0.9572328925132751","0.9784568548202516","0.8709806203842163","0.9782174825668336","0.9853187799453736","0.9972073435783386","0.7908720970153809","0.9391207098960876","0.5737652778625488","0.944546401500702","0.9613021612167358","0.9982446432113647","0.9861964583396912","0.9973669648170472","0.9393600821495056","0.9823665618896484","0.996090292930603","0.9368865489959716","0.139628604054451","0.37363359332084656","0","0","0.1668129414319992","0.020426075905561447","0.48191964626312256","0","0","0","0.38101309537887573","0.22118405997753143","0.5520015954971313","0.3354647159576416","0","0","0","0","0.08170430362224579","0","0","0.1307079941034317","0.2728544771671295","0","0","0.015964936465024948","0.0015712366439402103","0.3273437023162842","0","0","0","0.5600917339324951","0.020485345274209976","0.9166648983955384","0.07920105010271072","0","0","0","0","0.0037190832663327456","0","0","0.10989484935998917","[1.1240883398816186,1.4228739795674088]"
"Trial-062","19","0.8977100253105164","0.9974467158317566","0.9745472073554992","0.9571531414985656","0.9778185486793518","0.8532673716545105","0.9789355993270874","0.985398530960083","0.9972073435783386","0.8280539512634277","0.9335354566574096","0.5949892401695251","0.944067656993866","0.9585095643997192","0.9982446432113647","0.9861964583396912","0.9972871541976928","0.9395994544029236","0.9814888834953308","0.9956913590431212","0.9388574361801147","0.13128560781478882","0.4007113873958587","0","0.15251469612121582","0.19745205342769623","0.2093672752380371","0.4119167923927307","0.12255644798278809","0","0","0.4513479769229889","0.3287228047847748","0.5609111189842224","0.33049046993255615","0.2292572259902954","0","0","0","0.27317216992378235","0.07489561289548874","0.020426075905561447","0.18818709254264832","0.20685501396656036","0","0.03663584962487221","0.025398431345820427","0.05760805681347847","0.5912381410598755","0.02577170915901661","0","0","0.4293113946914673","0.1513293981552124","0.8957598209381104","0.06591057777404785","0.06626413762569427","0","0","0","0.019705453887581825","0.016041763126850128","0.020426075905561447","0.1304127871990204","[1.4841947298862148,0.9778968578168088]"
"Trial-061","30","0.8970717191696167","0.9974467158317566","0.971993923187256","0.9559562802314758","0.97861647605896","0.8434532880783081","0.9774994254112244","0.985398530960083","0.9972073435783386","0.8168834447860718","0.9332163333892822","0.6269847750663757","0.9460623860359192","0.961142599582672","0.9982446432113647","0.9861964583396912","0.9972871541976928","0.9406366944313048","0.9818878173828124","0.996090292930603","0.9394637942314148","0.1279197782278061","0.4119891822338104","0","0.2188231199979782","0.21525190770626068","0.1559809297323227","0.39647990465164185","0.06127822399139404","0","0","0.4265004098415375","0.34865567088127136","0.5782828330993652","0.18568046391010284","0.221282497048378","0","0","0","0.3426862359046936","0.1123434156179428","0.020426075905561447","0.18478305637836456","0.25633537769317627","0","0.13481207191944122","0.052202172577381134","0.0319073311984539","0.6588863730430603","0.00821906328201294","0","0","0.4994790256023407","0.12494449317455292","0.8299286961555481","0.016626106575131416","0.027854496613144875","0","0","0","0.10922148823738098","0.012383940629661083","0.010213037952780724","0.13865067064762115","[1.7029782233840087,0.5325932715469895]"
"Trial-060","27","0.8888534307479858","0.9974467158317566","0.9713556170463562","0.9573924541473388","0.9787760376930236","0.8401819467544556","0.9782174825668336","0.985398530960083","0.9972073435783386","0.8085055351257324","0.9311417937278748","0.6411872506141663","0.9442272186279296","0.9596266150474548","0.9982446432113647","0.9861964583396912","0.9972871541976928","0.9392802715301514","0.9825261235237122","0.9960105419158936","0.9389531016349792","0.12967590987682345","0.39545485377311707","0","0.2549899220466614","0.22298464179039","0.17770686745643616","0.3872041404247284","0","0","0","0.404516339302063","0.32500404119491577","0.5874302983283997","0.33385464549064636","0.21072900295257568","0","0","0","0.19284021854400635","0.040852151811122894","0","0.17667832970619202","0.3522977828979492","0","0.16000843048095703","0.026133738458156586","0.03579593822360039","0.6487386226654053","0","0","0","0.4994533956050873","0.14171701669692993","0.8007137179374695","0.08341272920370102","0.05012070760130882","0","0","0","0.02176818437874317","0.004680975805968046","0","0.14124208688735962","[1.5726976802329302,0.9065532037435416]"
"Trial-059","49","0.8945184946060181","0.9974467158317566","0.9750259518623352","0.9573127031326294","0.9782972931861876","0.8515918254852295","0.9763823747634888","0.9846804141998292","0.9972073435783386","0.8116173148155212","0.9206095933914183","0.6566663980484009","0.9434293508529664","0.954520046710968","0.9982446432113647","0.9861964583396912","0.9972073435783386","0.9388813376426696","0.9790154099464417","0.994893491268158","0.9396872520446776","0.12678870558738708","0.4159429967403412","0","0.287444144487381","0.2251245230436325","0.2061898708343506","0.4033578336238861","0.1816936731338501","0.02723476849496365","0","0.40944862365722656","0.27350401878356934","0.5975810289382935","0.29203000664711","0.17928427457809448","0","0","0","0.289787232875824","0.13425225019454956","0.024511290714144707","0.197369322180748","0.30826982855796814","0","0.14718639850616455","0.03656517341732979","0.06824557483196259","0.6534079909324646","0.05471111461520195","0.022468682378530502","0","0.4898446500301361","0.24913889169692993","0.7837257981300354","0.08486160635948181","0.0800076350569725","0","0","0","0.09428797662258148","0.06387683749198914","0.010213037952780724","0.15734052658081055","[1.7878194246247576,1.6063412615668289]"
"Trial-058","49","0.8961142301559448","0.9974467158317566","0.9753450751304626","0.9573924541473388","0.9782972931861876","0.8614856600761414","0.9762227535247804","0.9850794076919556","0.9972073435783386","0.8146493434906006","0.9244394898414612","0.6550706028938293","0.9436687231063844","0.9564350247383118","0.9982446432113647","0.9861964583396912","0.9973669648170472","0.9404771327972412","0.9804515838623048","0.994175374507904","0.9407882690429688","0.1263582855463028","0.4098667502403259","0","0.27819693088531494","0.29379504919052124","0.2340487837791443","0.4304004311561585","0.15530997514724731","0.020426075905561447","0","0.42025455832481384","0.30718836188316345","0.5967103242874146","0.3226051926612854","0.26173633337020874","0","0","0","0.3390730917453766","0.1427220106124878","0.03744780644774437","0.2124890685081482","0.3181368410587311","0","0.11274734884500504","0.041820064187049866","0.06733864545822144","0.6483750343322754","0.07007193565368652","0.0020426076371222734","0","0.5142413973808289","0.23923006653785703","0.7880048751831055","0.09774386137723924","0.1046658381819725","0","0","0","0.1240110769867897","0.06781360507011414","0.02383042313158512","0.1610036939382553","[1.7367366840799177,0.7789918631480957]"
"Trial-057","49","0.8960344791412354","0.9974467158317566","0.974228024482727","0.9568339586257936","0.978377103805542","0.862602710723877","0.97686105966568","0.9848400354385376","0.9972073435783386","0.814968466758728","0.927790641784668","0.6543524861335754","0.9444665908813475","0.9529242515563964","0.9982446432113647","0.9861166477203368","0.9972871541976928","0.938961148262024","0.9789355993270874","0.9945743083953856","0.9406525492668152","0.12601837515830994","0.41215041279792786","0","0.3221328854560852","0.22706986963748932","0.22490347921848297","0.4262329339981079","0.11020240187644958","0.040852151811122894","0","0.41756588220596313","0.30938807129859924","0.5957123637199402","0.31158268451690674","0.2153271734714508","0","0","0","0.29838094115257263","0.11340063065290452","0.020426075905561447","0.20226642489433289","0.292785108089447","0","0.1420544683933258","0.035004064440727234","0.07211749255657196","0.6492898464202881","0.04844825714826584","0.006127822678536177","0","0.4897032678127289","0.24794292449951172","0.7953295707702637","0.08551996201276779","0.10141357034444808","0","0","0","0.1416165977716446","0.05748581141233444","0.0034043460618704557","0.1584121733903885","[0.7817733530389065,1.5833782515778068]"
"Trial-056","49","0.8962738513946533","0.9974467158317566","0.974946141242981","0.9564350247383118","0.978377103805542","0.8620442152023315","0.9760631918907166","0.983722984790802","0.9972871541976928","0.8118566870689392","0.921168088912964","0.6600973606109619","0.9422324895858764","0.9525253176689148","0.9982446432113647","0.9861964583396912","0.9972871541976928","0.938721776008606","0.979813277721405","0.99465411901474","0.9402695894241332","0.12651342153549194","0.4229154586791992","0","0.35155269503593445","0.2093672752380371","0.24516154825687408","0.4214765727519989","0.18305577337741852","0.040852151811122894","0.020426075905561447","0.4092818796634674","0.27808257937431335","0.6007562279701233","0.2722254693508148","0.2080889791250229","0","0","0","0.28851237893104553","0.12960602343082428","0.056171707808971405","0.20687666535377505","0.308722585439682","0","0.13698959350585938","0.031665362417697906","0.0775003656744957","0.6281991600990295","0.0728142037987709","0.008860141970217228","0.020426075905561447","0.5065591335296631","0.26957249641418457","0.7776909470558167","0.09109653532505035","0.08929372578859329","0","0","0","0.1421656757593155","0.06734637916088104","0.03063911572098732","0.16297703981399536","[0.7151560190888077,1.4006019754801244]"
"Trial-055","49","0.8951568007469177","0.9974467158317566","0.9736695289611816","0.9564350247383118","0.978137731552124","0.8708210587501526","0.9780579209327698","0.9846006631851196","0.9972073435783386","0.8017234206199646","0.9289076924324036","0.642862856388092","0.9388015866279602","0.9604244828224182","0.9981648325920104","0.9861964583396912","0.9972073435783386","0.938721776008606","0.9810899496078492","0.995611608028412","0.9400622248649596","0.1264418512582779","0.425827831029892","0","0.2536652982234955","0.26442041993141174","0.19245901703834536","0.4501570165157318","0.13276949524879456","0.040852151811122894","0","0.4028957784175873","0.3294307589530945","0.5862894058227539","0.30319973826408386","0.25055983662605286","0","0","0","0.27321356534957886","0.21637047827243805","0.040852151811122894","0.20814809203147888","0.31444618105888367","0","0.120928056538105","0.05901128426194191","0.07083422690629959","0.5719332695007324","0.047976959496736526","0.010893907397985458","0","0.5100051164627075","0.1957257241010666","0.8110337853431702","0.14193326234817505","0.06414883583784103","0","0","0","0.0771588683128357","0.0874241515994072","0.03063911199569702","0.15570461750030518","[1.7126067771442564,0.22334641088851329]"
"Trial-054","49","0.894757866859436","0.9973669648170472","0.9755844473838806","0.9562754034996032","0.9782972931861876","0.8683475852012634","0.9782972931861876","0.9841219186782836","0.9972073435783386","0.8094630241394043","0.9248384237289428","0.650123655796051","0.9376047253608704","0.9569137692451476","0.9982446432113647","0.9861964583396912","0.9972073435783386","0.9410356879234314","0.9810899496078492","0.995611608028412","0.940429151058197","0.1258029043674469","0.43125519156455994","0","0.28993403911590576","0.2509489059448242","0.22332508862018585","0.4386558532714844","0.18850348889827728","0.010213037952780724","0","0.4116973876953125","0.31895536184310913","0.5909563302993774","0.2803153097629547","0.2039446383714676","0","0","0","0.28633570671081543","0.16365176439285278","0.06127822399139404","0.20749853551387787","0.3062645196914673","0","0.13019448518753052","0.04995940253138542","0.069701187312603","0.5873703360557556","0.07602928578853607","0.0020426076371222734","0","0.5193242430686951","0.22301799058914185","0.7976773977279663","0.14295664429664612","0.0674908310174942","0","0","0","0.12313354015350342","0.08447472751140594","0.020426075905561447","0.160003200173378","[1.0724360132110895,0.5715955297644961]"
